couple_id,name,email,phone,attend,guests,meal,meal2,message,created_at
anna-and-marco,Sofia Reyes,sofia.reyes@gmail.com,639171234567,yes,2,chicken,beef,"So excited for your big day!",2026-01-12T09:12:34
anna-and-marco,Marco Dela Cruz,marco.dc@yahoo.com,639281234567,yes,1,beef,,"Congratulations!",2026-01-13T09:12:34
anna-and-marco,Isabella Santos,bella.santos@gmail.com,639391234567,yes,2,fish,vegetarian,"Can't wait!",2026-01-14T09:12:34
anna-and-marco,Carlos Mendoza,cmendoza@gmail.com,639451234567,no,0,,,"Sorry, can't make it. Wishing you both the best!",2026-01-15T09:12:34
anna-and-marco,Camille Torres,cam.torres@outlook.com,639561234567,yes,1,vegetarian,,"We'll be there!",2026-01-16T09:12:34
anna-and-marco,Daniel Ramos,dramos@gmail.com,639671234567,yes,2,beef,chicken,"Looking forward to it!",2026-01-17T09:12:34
anna-and-marco,Gabrielle Lim,gab.lim@gmail.com,639781234567,yes,1,chicken,,,2026-01-18T09:12:34
anna-and-marco,Miguel Flores,miguelflores@gmail.com,639891234567,no,0,,,"Sadly we have a prior commitment.",2026-01-19T09:12:34
anna-and-marco,Anika Villanueva,anika.v@gmail.com,639901234567,yes,2,fish,fish,,2026-01-20T09:12:34
anna-and-marco,Ramon Cruz,ramonc@yahoo.com,639121234567,yes,1,beef,,"See you there!",2026-01-21T09:12:34
anna-and-marco,Beatrice Gonzales,bea.gonzales@gmail.com,639231234567,yes,2,chicken,vegetarian,"So happy for you two!",2026-01-22T09:12:34
anna-and-marco,Jerome Navarro,jerome.nav@gmail.com,639341234567,yes,1,vegetarian,,,2026-01-23T09:12:34
anna-and-marco,Tricia Aquino,tricia.aquino@gmail.com,639451234568,no,0,,,"Unfortunately we'll be out of the country.",2026-01-24T09:12:34
anna-and-marco,Andrei Bautista,andrei.b@gmail.com,639561234568,yes,2,beef,beef,,2026-01-25T09:12:34
anna-and-marco,Mia Pascual,mia.pascual@outlook.com,639671234568,yes,1,fish,,"Congratulations to the happy couple!",2026-01-26T09:12:34
anna-and-marco,Kevin Castillo,kev.castillo@gmail.com,639781234568,yes,1,chicken,,,2026-01-27T09:12:34
anna-and-marco,Rina Espiritu,rina.e@gmail.com,639891234568,no,0,,,"We'll miss it but sending love!",2026-01-28T09:12:34
